13	1782.38	1802.13	47.75	66.448	4.63	4.08	5.82	0	385.17	2.117	27.73	87	50	0.8	0.74	82	0
14	1807.73	1819.5	65.041	64.37	4.155	3.928	5.34	0	356.83	2.218	27.65	87	50	0.8	1.21	82	0
15	1866.63	1918.88	64.9	59.47	3.47	3.43	4.23	0	372.24	2.13	27.16	87	50	0.8	1.2	82	0
20	1545	1560	58.1	38.8	5.4	5.88	6.2	0	373	2.18	33.8	87	62	0.8	0.64	60	0
22	1579.13	1582	60	39	5.42	5.8	7	0	358	2.23	37.61	87	62	0.8	0.72	60	0
23	1592	1602	60.32	44.4	4.2	4.9	5	0	364	2.23	31.84	87	62	0.8	0.73	60	0
24	1628	1633	62.27	37.22	4.35	4.69	6	0	373	2.22	32.9	87	62	0.8	0.81	60	0
26	1642	1645	48	24.2	4.4	5.78	6.5	0	334	2.31	35.64	87	62	0.8	0.24	60	0
27	1652	1663	57	26.7	4.13	5	4.7	0	384	2.15	33.1	87	62	0.8	0.6	60	0
29	1668	1673	57.05	30.54	5.2	6.061	6.654	0	367	2.2	35.71	87	62	0.8	0.6	60	0
32	1687	1692	67	35.8	4.4	5.37	5.2	0	334	2.33	28.54	87	62	0.8	1	60	0
34	1710.25	1715	62.3	12.5	4.65	5.48	6	0	355	2.25	32.423	87	62	0.8	0.81	60	0
35	1718	1724	60.8	35	4.83	5.77	5.81	0	344	2.25	30.106	87	62	0.8	0.75	60	0
37	1745	1749	66.73	38.58	4.3	5.1	5.2	0	340	2.27	29.84	87	62	0.8	0.99	60	0
43	1797	1807	52.616	18.09	4.2	5.4	4.8	0	357	2.14	32.545	87	62	0.8	0.42	60	0
44	1811	1817	51	18.9	4.2	5.584	4.945	0	340	2.19	32.4	87	62	0.8	0.36	60	0
45	1489.3	1493.3	58.18	58.71	5.7	4.2	7.2	0	332	2.179	31.2	85	48	0.8	1.08	68	0
46	1499.4	1504.3	55.73	64.83	7.89	5.12	8.89	0	372	2.14	33	85	48	0.8	1.01	68	0
47	1521.9	1528.8	55.3	59.123	6.26	5.35	7.8	0	325.28	2.18	33.5	85	48	0.8	1	68	0
