dept	den	cnl
1768.75	2.52099	33.5805
1768.875	2.49514	33.5591
1769	2.45477	33.583
1769.125	2.39341	34.5108
1769.25	2.32258	36.514
1769.375	2.28109	38.0303
1769.5	2.30041	38.6
1769.625	2.37263	37.9659
1769.75	2.4619	36.8546
1769.875	2.51168	36.454
1770	2.53826	35.9067
1770.125	2.54647	35.3527
1770.25	2.54504	34.9521
1770.375	2.54051	34.2543
1770.5	2.53751	33.054
1770.625	2.536	31
1770.75	2.54551	29.2468
1770.875	2.55051	27.2949
1771	2.5626	25.6923
1771.125	2.57805	24.4474
1771.25	2.58553	24.1532
1771.375	2.58854	24.6
1771.5	2.59154	24.7
1771.625	2.59655	24.0347
1771.75	2.60212	22.5212
1771.875	2.60856	20.6872
1772	2.613	19.7
1772.125	2.61385	19.573
1772.25	2.60225	21.0749
1772.375	2.59382	22.4769
1772.5	2.58781	23.8788
1772.625	2.57799	25.0807
1772.75	2.55935	26.0435
1772.875	2.53554	27.446
1773	2.52376	29.3107
1773.125	2.52388	31.1511
1773.25	2.53844	32.0366
1773.375	2.562	31.1875
1773.5	2.55859	27.8471
1773.625	2.57727	25.308
1773.75	2.59098	23.4361
1773.875	2.6	22.4666
1774	2.59965	22.7673
1774.125	2.59006	23.3679
1774.25	2.50307	23.7371
1774.375	2.33549	24.4383
1774.5	2.15458	25.6793
1774.625	2.01232	27.3114
1774.75	1.94929	28.5422
1774.875	1.94739	29.0869
1775	1.89487	30.6171
1775.125	1.80329	32.565
1775.25	1.71448	34.1473
1775.375	1.66523	34.6257
1775.5	1.67649	34.0251
1775.625	1.73282	33.4
1775.75	1.78214	33.8762
1775.875	1.80654	34.1768
1776	1.80868	34.6775
1776.125	1.82178	35.0656
1776.25	1.95308	34.0637
1776.375	2.12335	32.8618
1776.5	2.27761	32.22
1776.625	2.38291	32.742
1776.75	2.43044	34.2253
1776.875	2.44292	35.9459
1777	2.46543	37.1826
1777.125	2.50899	37.5
1777.25	2.55039	36.5645
1777.375	2.57385	34.5929
1777.5	2.575	31.7337
1777.625	2.574	28.0284
1777.75	2.576	27.1
1777.875	2.57787	28.1612
1778	2.578	30.1139
1778.125	2.57512	32.5417
1778.25	2.56922	34.489
1778.375	2.5611	34.9415
1778.5	2.5591	32.9584
1778.625	2.56191	30.2637
1778.75	2.56883	28.0338
1778.875	2.57592	26.9844
1779	2.57986	27.8928
1779.125	2.58687	28.4935
1779.25	2.59294	28.5
1779.375	2.59495	28.6
1779.5	2.59305	29.1815
1779.625	2.58612	30.7721
1779.75	2.5741	33.3866
1779.875	2.56108	34.7892
1780	2.55202	34.6041
1780.125	2.54901	32.81
1780.25	2.549	30.2048
1780.375	2.551	28.0006
1780.5	2.55	26.7992
1780.625	2.55101	25.3976
1780.75	2.55401	24.2957
1780.875	2.55902	23.1937
1781	2.56605	21.8918
1781.125	2.5781	20.7899
1781.25	2.58908	19.888
1781.375	2.59814	19.6047
1781.5	2.60184	19.9053
1781.625	2.59094	20.1119
1781.75	2.58793	20.7132
1781.875	2.586	21.7144
1782	2.58592	23.2314
1782.125	2.585	25.251
1782.25	2.58391	27.6366
1782.375	2.582	29.5098
1782.5	2.5799	29.7104
1782.625	2.57378	28.1447
1782.75	2.57	26.4532
1782.875	2.56788	25.1753
1783	2.56274	24.274
1783.125	2.55373	23.5864
1783.25	2.54671	22.9857
1783.375	2.5407	22.5851
1783.5	2.537	22.1844
1783.625	2.537	21.6676
1783.75	2.53666	20.8495
1783.875	2.52665	19.6476
1784	2.53254	19.0638
1784.125	2.54138	19.675
1784.25	2.54939	21.5164
1784.375	2.557	23.9202
1784.5	2.56	26.4241
1784.625	2.55779	28.5066
1784.75	2.55056	29.5439
1784.875	2.5371	29.4322
1785	2.51961	28.0605
1785.125	2.49904	25.8806
1785.25	2.48302	24.1264
1785.375	2.4745	24.2252
1785.5	2.46223	24.0742
1785.625	2.454	23.3471
1785.75	2.45681	22.1916
1785.875	2.47166	20.4891
1786	2.4977	18.8865
1786.125	2.52203	18.371
1786.25	2.54089	18.7593
1786.375	2.55391	19.9212
1786.5	2.56431	21.2928
1786.625	2.56832	22.4947
1786.75	2.57532	24.0289
1786.875	2.575	24.9657
1787	2.573	25.133
1787.125	2.572	24.3976
1787.25	2.572	23.3304
1787.375	2.572	22.5292
1787.5	2.573	22.2
1787.625	2.574	22.8734
1787.75	2.57025	24.7614
1787.875	2.56086	27.6659
1788	2.551	30.1931
1788.125	2.55539	31.2785
1788.25	2.5638	31.5
1788.375	2.569	31.5
1788.5	2.56676	31.5
1788.625	2.557	31.6418
1788.75	2.55458	31.9425
1788.875	2.56972	32.3431
1789	2.58819	32.8438
1789.125	2.60189	32.9556
1789.25	2.6014	32.655
1789.375	2.57172	32.2543
1789.5	2.55861	31.8537
1789.625	2.54759	31.8
1789.75	2.53657	32.1952
1789.875	2.52455	32.9965
1790	2.51451	34.0467
1790.125	2.512	35.199
1790.25	2.52452	36.1006
1790.375	2.54857	36.5
1790.5	2.57006	35.1904
1790.625	2.58048	32.1731
1790.75	2.57806	27.7183
1790.875	2.58754	23.3789
1791	2.59408	21.4292
1791.125	2.59345	20.9
1791.25	2.58478	21.4663
1791.375	2.57188	22.5561
1791.5	2.56313	23.0866
1791.625	2.57129	22.1279
1791.75	2.59248	20.51
1791.875	2.60341	18.9241
1792	2.59981	18.2
1792.125	2.5928	18.5198
1792.25	2.58379	19.5605
1792.375	2.57578	20.1612
1792.5	2.57038	20.4
1792.625	2.567	20.4
1792.75	2.567	20.3631
1792.875	2.56664	20.5637
1793	2.569	20.9644
1793.125	2.57265	21.1
1793.25	2.57866	21.697
1793.375	2.58234	22.5663
1793.5	2.58067	22.8661
1793.625	2.58268	22.1324
1793.75	2.584	21.5318
1793.875	2.58162	22.1377
1794	2.57361	24.0865
1794.125	2.5666	27.1611
1794.25	2.56	30.3539
1794.375	2.561	32.1428
1794.5	2.56472	32.4
1794.625	2.565	31.7546
1794.75	2.565	31.0267
1794.875	2.56526	30.8
1795	2.56425	30.9492
1795.125	2.562	31.5505
1795.25	2.562	32.6518
1795.375	2.56377	33.9061
1795.5	2.56577	35.0543
1795.625	2.56611	35.4888
1795.75	2.54686	33.7431
1795.875	2.53184	33.3209
1796	2.54078	34.1392
1796.125	2.57004	34.9
1796.25	2.60486	34.133
1796.375	2.628	31.0204
1796.5	2.628	26.2773
1796.625	2.62234	22.5367
1796.75	2.617	20.5329
1796.875	2.617	20
1797	2.61715	19.9303
1797.125	2.61185	19.1581
1797.25	2.61686	17.4556
1797.375	2.59219	16.9133
1797.5	2.53827	18.2117
1797.625	2.47056	21.5683
1797.75	2.41923	26.064
1797.875	2.41	30.7823
1798	2.4226	34.8095
1798.125	2.44443	37.6435
1798.25	2.48651	39
1798.375	2.54919	38.357
1798.5	2.58763	35.375
1798.625	2.60679	31.5618
1798.75	2.60219	28.2436
1798.875	2.59406	26.2168
1799	2.59005	25.4901
1799.125	2.58704	26.1871
1799.25	2.58304	27.2927
1799.375	2.58003	27.697
1799.5	2.57898	27.1048
1799.625	2.58295	26.4017
1799.75	2.58803	26.2978
1799.875	2.579	26.9981
1800	2.576	28.0995
1800.125	2.573	29.3015
1800.25	2.571	30.4023
1800.375	2.569	31.2053
1800.5	2.56598	32.2096
1800.625	2.55994	33.7122
1800.75	2.55189	35.2148
1800.875	2.54904	36.3087
1801	2.5509	36.0702
1801.125	2.54417	33.4663
1801.25	2.55413	31.1687
1801.375	2.557	29.5724
1801.5	2.56008	28.2849
1801.625	2.56408	27.0673
1801.75	2.567	25.4471
1801.875	2.567	23.2622
1802	2.5649	21.5596
1802.125	2.55879	20.9
1802.25	2.54866	21.2342
1802.375	2.53216	22.2241
1802.5	2.50537	23.2127
1802.625	2.48547	23.4867
1802.75	2.47672	22.8861
1802.875	2.47929	22.1708
1803	2.4883	21.8
1803.125	2.49384	22.0317
1803.25	2.48934	22.8495
1803.375	2.47331	23.8343
1803.5	2.45611	24.2
1803.625	2.44682	24.1
1803.75	2.44619	24
1803.875	2.44701	24.0197
1804	2.42798	24.3204
1804.125	2.40595	24.521
1804.25	2.40022	24.4784
1804.375	2.41456	23.9554
1804.5	2.44529	23.0312
1804.625	2.48141	21.8293
1804.75	2.50545	20.6274
1804.875	2.51675	19.9752
1805	2.51775	20.1255
1805.125	2.51248	20.8784
1805.25	2.50139	21.8803
1805.375	2.47663	22.9274
1805.5	2.46116	23.3
1805.625	2.46257	23.4
1805.75	2.47747	23.5293
1805.875	2.4998	23.9899
1806	2.52	24.8612
1806.125	2.51937	25.6625
1806.25	2.48681	26.2319
1806.375	2.44875	26.3
1806.5	2.421	26.1668
1806.625	2.41234	25.9324
1806.75	2.41938	25.3311
1806.875	2.43876	24.6649
1807	2.45979	24.1643
1807.125	2.47509	23.8
1807.25	2.48163	23.7
1807.375	2.47725	23.7
1807.5	2.46723	23.4617
1807.625	2.466	22.8611
1807.75	2.47798	21.3416
1807.875	2.49982	20.4
1808	2.52404	20.8226
1808.125	2.54383	22.2661
1808.25	2.54742	24.0108
1808.375	2.53729	25.0856
1808.5	2.51739	25.2566
1808.625	2.49091	24.9559
1808.75	2.46332	24.6447
1808.875	2.43728	24.9
1809	2.41816	24.946
1809.125	2.411	24.1601
1809.25	2.41689	22.5163
1809.375	2.43635	20.4604
1809.5	2.4664	18.7029
1809.625	2.49694	18.1016
1809.75	2.516	18.6
1809.875	2.52251	19.5519
1810	2.52751	20.2513
1810.125	2.53556	20.2962
1810.25	2.54868	19.4
1810.375	2.57713	19.2532
1810.5	2.58654	19.9077
1810.625	2.587	20.909
1810.75	2.58545	21.7551
1810.875	2.583	22.0442
1811	2.584	21.5872
1811.125	2.58557	20.943
1811.25	2.58642	21.573
1811.375	2.58142	24.0248
1811.5	2.577	27.8485
1811.625	2.5774	32.0576
1811.75	2.5748	34.5807
1811.875	2.56578	35.4217
1812	2.55677	35.5
1812.125	2.551	34.8514
1812.25	2.55163	33.2233
1812.375	2.55763	30.9097
1812.5	2.56264	29.5078
1812.625	2.564	29.2
1812.75	2.56069	29.7307
1812.875	2.56164	30.566
1813	2.57866	30.8335
1813.125	2.59436	28.9637
1813.25	2.6154	26.7926
1813.375	2.62937	24.5573
1813.5	2.634	22.9925
1813.625	2.6333	22.1
1813.75	2.62959	22.0409
1813.875	2.62258	22.6844
1814	2.61457	24.5587
1814.125	2.60728	27.0066
1814.25	2.60081	30.0841
1814.375	2.59053	33.1683
1814.5	2.58077	35.0743
1814.625	2.56775	35.2749
1814.75	2.55573	35.1244
1814.875	2.54395	35
1815	2.52816	35
1815.125	2.50735	35.0225
1815.25	2.48444	34.5219
1815.375	2.48758	33.9212
1815.5	2.5287	32.7824
1815.625	2.5652	31.5399
1815.75	2.56058	30.5159
1815.875	2.54919	28.2121
1816	2.544	26.0902
1816.125	2.55148	24.6522
1816.25	2.56516	24
1816.375	2.58052	24.0839
1816.5	2.59069	24.6381
1816.625	2.598	26.0406
1816.75	2.59428	28.129
1816.875	2.58327	29.5729
