dep	LLD	HAC	gr	sp	rmn	rmg
1354.625	2.269	355.977	121.195	68.447	1.564	1.65
1354.75	2.289	321.971	119.767	68.378	1.564	1.65
1354.875	2.408	321.357	118.607	68.316	1.692	1.65
1355	2.655	333.059	117.701	68.205	1.821	1.801
1355.125	2.767	324.669	118.22	68.121	1.863	1.831
1355.25	2.882	313.183	119.571	67.989	2.077	2.073
1355.375	2.952	322.412	120.736	67.904	2.163	2.133
1355.5	2.967	326.72	121.346	67.797	2.248	2.194
1355.625	2.966	333.715	121.386	67.745	2.248	2.254
1355.75	3.057	325.57	121.598	67.705	2.248	2.254
1355.875	3.106	307.322	121.23	67.704	2.334	2.315
1356	3.115	310.986	120.589	67.733	2.377	2.345
1356.125	3.112	313.058	119.479	67.768	2.377	2.315
1356.25	3.037	314.195	118.118	67.826	2.377	2.315
1356.375	2.968	326.675	118.745	67.863	2.334	2.284
1356.5	2.886	337.875	120.792	67.905	2.291	2.254
1356.625	2.875	336.748	122.358	67.923	2.248	2.224
1356.75	2.9	326.914	123.105	67.936	2.077	2.012
1356.875	2.93	311.738	121.558	67.939	2.12	2.073
1357	2.999	305.909	119.033	67.942	2.206	2.164
1357.125	3.017	310.835	118.669	67.943	2.163	2.164
1357.25	2.9	330.273	120.02	67.945	2.206	2.224
1357.375	2.76	331.218	121.607	67.944	2.077	2.133
1357.5	2.573	348.511	124.173	67.935	1.863	1.922
1357.625	2.56	351.772	124.561	67.925	1.863	1.922
1357.75	2.704	335.675	123.949	67.908	1.863	1.861
1357.875	2.812	304.678	123.749	67.902	1.992	1.922
1358	2.925	301.698	123.985	67.911	2.719	2.677
1358.125	3.022	314.29	126.473	67.935	2.719	2.768
1358.25	2.775	296.353	135.25	67.999	2.12	2.164
1358.375	2.5	278.402	144.957	68.056	1.949	1.952
1358.5	2.279	333.328	161.689	68.144	1.863	2.012
1358.625	2.274	336.255	169.492	68.194	1.949	1.922
1358.75	2.246	308.551	169.862	68.235	1.821	2.103
1358.875	2.353	364.664	161.944	68.235	1.949	2.315
1359	2.581	343.992	145.399	68.192	1.863	1.71
1359.125	2.76	309.254	135.683	68.143	2.035	1.982
1359.25	3.013	308.101	124.426	68.052	2.248	2.194
1359.375	3.194	287.047	120.475	67.991	2.334	2.284
1359.5	3.21	299.335	118.016	67.911	2.591	2.587
1359.625	3.056	333.421	117.681	67.867	2.462	2.405
1359.75	2.781	339.68	119.292	67.816	2.206	2.164
1359.875	2.596	361.691	120.163	67.785	2.035	2.103
1360	2.362	375.384	120.645	67.735	1.863	1.861
1360.125	2.338	368.724	119.782	67.694	1.778	1.771
1360.25	2.628	342.765	117.469	67.62	1.778	1.801
1360.375	2.72	298.937	116.316	67.568	2.248	2.224
1360.5	2.749	303.483	117.337	67.499	3.232	3.735
1360.625	2.724	404.17	120.344	67.469	2.035	2.164
1360.75	2.616	368.795	125.113	67.463	1.821	1.801
1360.875	2.3	347.259	127.468	67.486	1.778	1.801
1361	2.18	346.739	128.868	67.556	1.735	1.771
1361.125	2.21	357.826	129.503	67.618	1.607	1.71
1361.25	2.082	348.654	133.129	67.716	1.692	1.68
1361.375	2.118	323.233	136.392	67.775	1.821	1.861
1361.5	2.305	343.792	141.719	67.847	1.692	1.831
1361.625	2.417	329.32	143.412	67.882	1.735	1.71
